"","sex","age","agegr","placesize","region","edu","eduspec","socprof","unempdur","income","marital","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","bmi"
"49","FEMALE",30,"25-34","URBAN 100,000-200,000","Wielkopolskie","SECONDARY","social sciences","EMPLOYED IN PRIVATE SECTOR",0,1600,"SINGLE","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",169,60,21.0076677987465
"50","FEMALE",27,"25-34","RURAL AREAS","Lodzkie","POST-SECONDARY OR HIGHER","social sciences","EMPLOYED IN PUBLIC SECTOR",0,1400,"SINGLE","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",1,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",170,62,21.4532871972318
"51","MALE",24,"16-24","RURAL AREAS","Wielkopolskie","SECONDARY","computer science","UNEMPLOYED",24,0,"SINGLE","PLEASED",0,"IT`S DIFFICULT TO TELL","YES","YES","YES",10,"NO",0,"NO","NO","YES","4","YES, TO EU COUNTRY","IT DEPENDS","GERMANY","ACTIVE",190,80,22.1606648199446
"52","MALE",83,"65+","URBAN 20,000-100,000","Zachodnio-pomorskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,1600,"MARRIED","MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",166,68,24.6770213383655
"53","FEMALE",21,"16-24","RURAL AREAS","Malopolskie","SECONDARY","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",160,60,23.4375
"54","FEMALE",37,"35-44","RURAL AREAS","Warminsko-mazurskie","SECONDARY","agriculture, forestry, fishing","OTHER ECONOMICALLY INACTIVE",0,0,"MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,60,22.3081499107674
"55","FEMALE",80,"65+","URBAN 100,000-200,000","Opolskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",24,1200,"MARRIED","MIXED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",150,80,35.5555555555556
"56","MALE",29,"25-34","RURAL AREAS","Slaskie","POST-SECONDARY OR HIGHER","architecture and construction","EMPLOYED IN PRIVATE SECTOR",0,2300,"MARRIED","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",196,101,26.2911286963765
"57","MALE",48,"45-59","RURAL AREAS","Pomorskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",0,1700,"MARRIED","MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",180,85,26.2345679012346
"58","FEMALE",57,"45-59","URBAN BELOW 20,000","Zachodnio-pomorskie","SECONDARY","technical science","OTHER ECONOMICALLY INACTIVE",0,0,"MARRIED","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,57,22.8328793462586
"59","MALE",57,"45-59","URBAN 500,000 AND OVER","Lodzkie","SECONDARY","technical science","EMPLOYED IN PRIVATE SECTOR",0,3000,"MARRIED","PLEASED",5,"IT`S DIFFICULT TO TELL","YES","YES","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",178,90,28.4055043555107
"60","MALE",55,"45-59","URBAN 200,000-500,000","Slaskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,2000,"MARRIED","MOSTLY SATISFIED",3,"IT`S DIFFICULT TO TELL","YES","YES","YES",5,"YES",20,"NO","YES","NO","0","NO",NA,NA,"NONE",176,90,29.0547520661157
"61","FEMALE",75,"65+","RURAL AREAS","Pomorskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,901,"MARRIED","MOSTLY SATISFIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",147,67,31.0055995187191
"62","FEMALE",81,"65+","URBAN 200,000-500,000","Slaskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",24,1040,"MARRIED","MOSTLY SATISFIED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",15,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,82,32.03125
"63","FEMALE",64,"60-64","RURAL AREAS","Mazowieckie","SECONDARY","production and processing","RETIRED",0,750,"MARRIED","MIXED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",156,70,28.7639710716634
"64","FEMALE",19,"16-24","URBAN 100,000-200,000","Podkarpackie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",171,48,16.415307274033
"65","MALE",30,"25-34","RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","production and processing","EMPLOYED IN PRIVATE SECTOR",0,3500,"MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",178,85,26.8274207802045
"66","FEMALE",58,"45-59","URBAN 100,000-200,000","Zachodnio-pomorskie","POST-SECONDARY OR HIGHER","architecture and construction","RETIRED",0,1200,"DIVORCED","MIXED",10,"IT`S DIFFICULT TO TELL","YES","NO","NO",3,"NO",0,"NO","NO","NO","0","YES, TO EU COUNTRY","IT DEPENDS","GREAT BRITAIN","NONE",158,72,28.8415318058003
"67","FEMALE",20,"16-24","URBAN 100,000-200,000","Slaskie","SECONDARY","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","MOSTLY SATISFIED",1,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",168,63,22.3214285714286
"68","FEMALE",55,"45-59","RURAL AREAS","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","social sciences","UNEMPLOYED",24,0,"MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",156,75,30.818540433925
"69","FEMALE",75,"65+","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,953,"DIVORCED","MOSTLY DISSATISFIED",14,"ONE CAN`T BE TOO CAREFUL","NO","NO","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",150,82,36.4444444444444
"70","FEMALE",58,"45-59","RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","no specialisation","LONG-TERM SICK/DISABLED",0,680,"MARRIED","MOSTLY SATISFIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",1,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",155,100,41.6233090530697
"71","FEMALE",45,"45-59","URBAN 20,000-100,000","Slaskie","POST-SECONDARY OR HIGHER","liberal arts","SELF-EMPLOYED",0,1000,"MARRIED","MIXED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",162,64,24.3865264441396
"72","FEMALE",43,"35-44","RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","services for the population and transport services","OTHER ECONOMICALLY INACTIVE",24,3000,"MARRIED","MOSTLY DISSATISFIED",15,"IT`S DIFFICULT TO TELL","NO","NO","YES",0,"YES",20,"YES","YES","NO","0","NO",NA,NA,"NONE",166,66,23.9512265931195
"73","MALE",56,"45-59","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","no specialisation","UNEMPLOYED",24,100,"WIDOWED","TERRIBLE",9,"IT`S DIFFICULT TO TELL","YES","YES","YES",1,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",172,55,18.5911303407247
"74","MALE",39,"35-44","RURAL AREAS","Zachodnio-pomorskie","PRIMARY/NO EDUCATION","no specialisation","EMPLOYED IN PRIVATE SECTOR",6,1100,"SINGLE","MOSTLY DISSATISFIED",4,"IT`S DIFFICULT TO TELL","NO","NO","YES",5,"YES",10,"YES","YES","NO","0","NO",NA,NA,"NONE",182,84,25.3592561284869
"75","FEMALE",38,"35-44","RURAL AREAS","Warminsko-mazurskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PUBLIC SECTOR",0,1000,"MARRIED","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",2,"YES",5,"NO","NO","NO","0","NO",NA,NA,"NONE",164,70,26.0261748958953
"76","FEMALE",44,"35-44","RURAL AREAS","Zachodnio-pomorskie","SECONDARY","public health","EMPLOYED IN PUBLIC SECTOR",0,2000,"MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,63,23.4235574063058
"77","MALE",62,"60-64","URBAN 100,000-200,000","Opolskie","SECONDARY","technical science","RETIRED",0,3500,"MARRIED","MIXED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",179,79,24.6559096158047
"78","MALE",42,"35-44","RURAL AREAS","Malopolskie","VOCATIONAL/GRAMMAR","other","EMPLOYED IN PUBLIC SECTOR",0,2000,"SINGLE","MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",2,"YES",25,"NO","NO","NO","0","NO",NA,NA,"NONE",176,80,25.8264462809917
"79","MALE",26,"25-34","RURAL AREAS","Malopolskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",0,0,"SINGLE","MIXED",3,"IT`S DIFFICULT TO TELL","NO","NO","YES",50,"NO",0,"NO","NO","YES","36","NO",NA,NA,"NONE",180,90,27.7777777777778
"80","FEMALE",67,"65+","RURAL AREAS","Podkarpackie","POST-SECONDARY OR HIGHER","liberal arts","RETIRED",0,1880,"MARRIED","MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",8,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,65,26.0374939913475
"81","MALE",30,"25-34","RURAL AREAS","Wielkopolskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",0,2420,"MARRIED","MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"YES",15,"YES","NO","NO","0","NO",NA,NA,"NONE",165,60,22.038567493113
